#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2ML1	KLK6	9606.ENSP00000299698	9606.ENSP00000366047	0	0	0	0	0	0.134	0	0.730	0.756
ABCA4	EYS	9606.ENSP00000359245	9606.ENSP00000424243	0	0	0	0	0	0	0	0.703	0.703
ABCA4	MYO7A	9606.ENSP00000359245	9606.ENSP00000386331	0	0	0	0	0.049	0	0	0.735	0.737
ABCC2	SLCO1B3	9606.ENSP00000359478	9606.ENSP00000261196	0	0	0	0	0.130	0	0	0.823	0.839
ABCC2	UGT1A6	9606.ENSP00000359478	9606.ENSP00000303174	0	0	0	0	0.262	0	0	0.713	0.779
ABCC2	UGT1A8	9606.ENSP00000359478	9606.ENSP00000304845	0	0	0	0	0.239	0	0	0.735	0.790
ABCC2	UGT1A9	9606.ENSP00000359478	9606.ENSP00000346768	0	0	0	0	0.254	0	0	0.646	0.725
ABCC2	SLCO1B3-SLCO1B7	9606.ENSP00000359478	9606.ENSP00000441269	0	0	0	0	0.108	0	0	0.824	0.836
ABCC3	SLCO1B3	9606.ENSP00000285238	9606.ENSP00000261196	0	0	0	0	0.086	0	0	0.767	0.778
ABCC3	SLCO1B3-SLCO1B7	9606.ENSP00000285238	9606.ENSP00000441269	0	0	0	0	0.063	0	0	0.767	0.772
ACAN	COMP	9606.ENSP00000387356	9606.ENSP00000222271	0	0	0	0	0.082	0	0.600	0.891	0.956
ACAN	COL1A1	9606.ENSP00000387356	9606.ENSP00000225964	0	0	0	0	0.062	0	0	0.762	0.767
ACAN	MMP7	9606.ENSP00000387356	9606.ENSP00000260227	0	0	0	0	0.062	0.060	0.900	0.633	0.963
ACAN	MMP13	9606.ENSP00000387356	9606.ENSP00000260302	0	0	0	0	0	0.060	0.900	0.883	0.988
ACAN	TNC	9606.ENSP00000387356	9606.ENSP00000265131	0	0	0	0	0.063	0.770	0.600	0.487	0.949
ACAN	ADAMTS16	9606.ENSP00000387356	9606.ENSP00000274181	0	0	0	0	0	0	0.900	0.391	0.936
ACAN	B3GNT3	9606.ENSP00000387356	9606.ENSP00000321874	0	0	0	0	0	0	0.900	0	0.900
ACAN	MMP1	9606.ENSP00000387356	9606.ENSP00000322788	0	0	0	0	0	0.228	0.900	0.697	0.974
ACAN	COL10A1	9606.ENSP00000387356	9606.ENSP00000327368	0	0	0	0	0.090	0	0	0.848	0.856
ACAN	CHST6	9606.ENSP00000387356	9606.ENSP00000328983	0	0	0	0	0.062	0	0.900	0.087	0.906
ACAN	RUNX2	9606.ENSP00000387356	9606.ENSP00000360493	0	0	0	0	0	0	0	0.837	0.837
ACAN	MMP9	9606.ENSP00000387356	9606.ENSP00000361405	0	0	0	0	0	0.060	0.900	0.664	0.965
ACAN	PTPRZ1	9606.ENSP00000387356	9606.ENSP00000377047	0	0	0	0	0.062	0	0	0.696	0.703
ACAN	MMP12	9606.ENSP00000387356	9606.ENSP00000458585	0	0	0	0	0	0.060	0.900	0.418	0.940
ACE2	AGT	9606.ENSP00000389326	9606.ENSP00000355627	0	0	0	0	0.063	0.845	0.900	0.878	0.998
ACE2	SLC15A1	9606.ENSP00000389326	9606.ENSP00000365686	0	0	0.239	0	0.112	0	0	0.637	0.733
ACE2	SLC1A7	9606.ENSP00000389326	9606.ENSP00000478639	0	0	0	0	0	0	0	0.923	0.924
ADAM12	EGF	9606.ENSP00000357668	9606.ENSP00000265171	0	0	0	0	0.050	0.213	0.900	0.463	0.954
ADAM8	CP	9606.ENSP00000453302	9606.ENSP00000264613	0	0	0	0	0	0	0	0.720	0.720
ADAMTS12	COMP	9606.ENSP00000422554	9606.ENSP00000222271	0	0	0	0	0	0.587	0	0.603	0.829
ADAMTS12	ADAMTS16	9606.ENSP00000422554	9606.ENSP00000274181	0	0	0	0.810	0	0	0.900	0.712	0.913
ADAMTS12	THBS2	9606.ENSP00000422554	9606.ENSP00000355751	0	0	0	0.542	0.161	0.123	0.900	0.209	0.926
ADAMTS12	ADAMTS14	9606.ENSP00000422554	9606.ENSP00000362304	0	0	0	0.714	0.090	0	0.900	0.642	0.922
ADAMTS14	COMP	9606.ENSP00000362304	9606.ENSP00000222271	0	0	0	0	0.062	0.074	0	0.710	0.726
ADAMTS14	COL1A1	9606.ENSP00000362304	9606.ENSP00000225964	0	0	0	0	0.117	0.153	0.900	0.264	0.937
ADAMTS14	ADAMTS16	9606.ENSP00000362304	9606.ENSP00000274181	0	0	0	0.727	0.063	0	0.900	0.702	0.920
ADAMTS14	COL3A1	9606.ENSP00000362304	9606.ENSP00000304408	0	0	0	0	0.096	0.153	0.900	0.123	0.923
ADAMTS14	THBS2	9606.ENSP00000362304	9606.ENSP00000355751	0	0	0	0.542	0.159	0.074	0.900	0.142	0.919
ADAMTS14	COL11A1	9606.ENSP00000362304	9606.ENSP00000359114	0	0	0	0	0.082	0.153	0.900	0.213	0.930
ADAMTS14	COL5A1	9606.ENSP00000362304	9606.ENSP00000360882	0	0	0	0	0.117	0.153	0.900	0.283	0.939
ADAMTS14	COL2A1	9606.ENSP00000362304	9606.ENSP00000369889	0	0	0	0	0.062	0.153	0.900	0.215	0.929
ADAMTS14	COL5A2	9606.ENSP00000362304	9606.ENSP00000364000	0	0	0	0	0.096	0.153	0.900	0.395	0.947
ADAMTS16	THBS2	9606.ENSP00000274181	9606.ENSP00000355751	0	0	0	0.543	0.062	0.123	0.900	0.134	0.914
ADH1C	ALDH3B2	9606.ENSP00000426083	9606.ENSP00000255084	0.049	0	0	0	0.062	0	0.650	0.680	0.886
ADH1C	UGT1A6	9606.ENSP00000426083	9606.ENSP00000303174	0	0	0	0	0.097	0	0.650	0.139	0.704
ADH1C	UGT1A8	9606.ENSP00000426083	9606.ENSP00000304845	0	0	0	0	0.144	0	0.650	0.096	0.705
ADH1C	LRAT	9606.ENSP00000426083	9606.ENSP00000337224	0	0	0	0	0.062	0	0.900	0.323	0.930
ADH1C	UGT1A10	9606.ENSP00000426083	9606.ENSP00000343838	0	0	0	0	0.118	0	0.650	0.134	0.709
ADH1C	ALDH3A1	9606.ENSP00000426083	9606.ENSP00000411821	0.049	0	0	0	0.062	0	0.650	0.677	0.885
ADH1C	CYP2E1	9606.ENSP00000426083	9606.ENSP00000440689	0.044	0	0	0	0.123	0	0.900	0.713	0.972
ADM2	RAMP1	9606.ENSP00000379087	9606.ENSP00000254661	0	0	0	0	0	0	0.500	0.806	0.899
ADM2	MAPK8IP2	9606.ENSP00000379087	9606.ENSP00000330572	0	0	0	0	0.088	0	0	0.720	0.733
ADM2	CALCA	9606.ENSP00000379087	9606.ENSP00000331746	0	0	0	0	0	0	0.500	0.763	0.876
ADSSL1	ASNS	9606.ENSP00000333019	9606.ENSP00000175506	0.059	0	0	0	0.138	0	0.900	0.235	0.929
ADSSL1	NT5E	9606.ENSP00000333019	9606.ENSP00000257770	0.085	0	0	0	0.062	0	0.650	0.219	0.734
ADSSL1	PPAT	9606.ENSP00000333019	9606.ENSP00000264220	0.219	0	0.222	0	0.108	0	0	0.673	0.799
ADSSL1	PGM2L1	9606.ENSP00000333019	9606.ENSP00000298198	0.133	0	0	0	0.065	0.609	0	0.189	0.708
ADSSL1	GAD1	9606.ENSP00000333019	9606.ENSP00000350928	0	0	0	0	0.064	0	0.800	0	0.804
ADSSL1	NAT8L	9606.ENSP00000333019	9606.ENSP00000413064	0	0	0	0	0	0	0.900	0	0.900
ADSSL1	IL4I1	9606.ENSP00000333019	9606.ENSP00000472474	0	0	0	0	0	0	0.900	0.058	0.901
ADSSL1	ENTPD8	9606.ENSP00000333019	9606.ENSP00000360561	0	0	0	0	0.062	0	0.900	0.177	0.916
AGR2	LYPD3	9606.ENSP00000391490	9606.ENSP00000244333	0	0	0	0	0.085	0.469	0	0.977	0.988
AGR2	TFF1	9606.ENSP00000391490	9606.ENSP00000291527	0	0	0	0	0.547	0	0	0.512	0.769
AGR2	SPDEF	9606.ENSP00000391490	9606.ENSP00000363149	0	0	0	0	0.349	0	0	0.593	0.724
AGR2	TFF3	9606.ENSP00000391490	9606.ENSP00000430690	0	0	0	0	0.532	0	0	0.516	0.764
AGT	AMBP	9606.ENSP00000355627	9606.ENSP00000265132	0	0	0	0	0.587	0.102	0	0.280	0.710
AGT	CPB1	9606.ENSP00000355627	9606.ENSP00000417222	0	0	0	0	0.065	0	0.900	0	0.902
AK4	NME4	9606.ENSP00000378743	9606.ENSP00000219479	0	0	0	0	0.066	0	0.650	0.749	0.910
