ensembl_gene_id	external_gene_name	length	logFC	logCPM	F	PValue	FDR	class
ENSG00000179914	ITLN1	8640	6.68490117354501	5.86610776537887	75.5770307281253	6.38872669250681e-14	4.45921258727292e-13	+
ENSG00000108576	SLC6A4	41683	6.0847051190895	6.63384509727393	122.165426466907	3.99207128018842e-19	7.51840091102152e-18	+
ENSG00000180440	SERTM1	23819	5.66318976810674	3.20934488082227	181.478376793333	2.38365895397623e-24	1.32511510145643e-22	+
ENSG00000108342	CSF3	2452	5.58851969912563	5.25124237349693	90.917269275045	8.94340205625189e-16	8.55212821629087e-15	+
ENSG00000034971	MYOC	17271	5.39746223514134	1.5811485781513	170.307319270247	1.86610272471385e-23	8.29384318960869e-22	+
ENSG00000170323	FABP4	4817	5.19611968072123	6.33834701597325	185.406973674407	1.17864073653743e-24	7.02673092896399e-23	+
ENSG00000158764	ITLN2	9784	5.1891505396284	4.29292609749182	142.487076887425	4.65978349907594e-21	1.23185010574196e-19	+
ENSG00000206172	HBA1	842	5.07383517586481	7.20117383970393	225.419630166309	1.50152606274815e-27	1.95187098487615e-25	+
ENSG00000161649	CD300LG	16491	5.05605629855871	3.32761564188861	118.186498046518	1.00093695200586e-18	1.72879110521771e-17	+
ENSG00000150625	GPM6A	369730	5.03473573944834	4.96288546990362	190.150142540687	5.10120314166197e-25	3.37910732245953e-23	+
ENSG00000188536	HBA2	834	4.98197227597706	8.13689391973695	220.437271142389	3.28805800506736e-27	3.71550554572612e-25	+
ENSG00000148677	ANKRD1	8991	4.94143047019692	5.39569676203442	126.938612256173	1.35421958669313e-19	2.81746118343413e-18	+
ENSG00000204305	AGER	3354	4.9366642917145	10.1704184505128	127.986463721047	1.07139302576227e-19	2.26446381691978e-18	+
ENSG00000168484	SFTPC	7566	4.92723415831999	13.6984398607112	70.3503385266003	2.98507409582337e-13	1.87192404942656e-12	+
ENSG00000223609	HBD	10979	4.7310378067675	1.43304304333032	202.019471263981	6.6528175717504e-26	5.47716966657108e-24	+
ENSG00000168309	FAM107A	63493	4.72295711337616	7.11563104653757	203.400533614047	5.2764221898591e-26	4.51604273467693e-24	+
ENSG00000187950	OVCH1	85212	4.61097192380041	1.1528656293301	164.143497110256	6.02607052409942e-23	2.46883254244443e-21	+
ENSG00000101280	ANGPT4	46434	4.58878402888965	1.99094227127512	213.891686646583	9.3819428381617e-27	9.16226527710367e-25	+
ENSG00000244734	HBB	3931	4.58418792866789	8.64660877038926	157.24544345959	2.31260398879771e-22	8.19315786113187e-21	+
ENSG00000142748	FCN3	5714	4.52761465419393	6.78173360151122	141.76492046109	5.42269787571091e-21	1.40139048689336e-19	+
ENSG00000243566	UPK3B	5997	4.38403372190318	6.45313404848398	134.432453909704	2.59561719542923e-20	6.12218631538554e-19	+
ENSG00000183019	MCEMP1	2741	4.31382738882696	6.37384162725275	167.576326335152	3.12643388707967e-23	1.31515609425111e-21	+
ENSG00000140600	SH3GL3	171515	4.29874807772434	1.5492287135672	123.082560949238	3.23744564863949e-19	6.22605092539801e-18	+
ENSG00000166292	TMEM100	12494	4.26221738058446	6.31454113494464	130.745377080425	5.81175475574125e-20	1.29317153117131e-18	+
ENSG00000168539	CHRM1	13128	4.25303590315652	1.53127268174103	106.161169783285	1.79089433765275e-17	2.42085787362614e-16	+
ENSG00000168481	LGI3	10254	4.22481425172693	5.5328624112117	76.3251031221005	5.14341999811721e-14	3.65343419669057e-13	+
ENSG00000179133	C10orf67	142149	4.21701954543764	1.96305447576	157.320069113549	2.2787618174169e-22	8.10648416899605e-21	+
ENSG00000182255	KCNA4	7300	4.18093807728763	1.01796415297774	107.321850105549	1.34583913986476e-17	1.86294738904097e-16	+
ENSG00000139304	PTPRQ	278095	4.16120711264096	2.00122833164958	179.417049377222	3.46294359449466e-24	1.85934260264653e-22	+
ENSG00000182010	RTKN2	85809	4.16035377525882	7.14913153161719	298.896497810237	4.84357370492765e-32	6.97837881537451e-29	+
ENSG00000167588	GPD1	7331	4.0664620048253	5.29801305803155	172.050558018209	1.34605883886422e-23	6.2727793167449e-22	+
ENSG00000259417	CTXND1	56732	4.05237521359729	2.6682489680261	187.219043292314	8.5451756300126e-25	5.37227423517411e-23	+
ENSG00000167434	CA4	20957	4.01685273512291	4.49477353503667	102.162637745292	4.85262988787247e-17	5.95111411648389e-16	+
ENSG00000021852	C8B	45176	3.99527887578146	3.10416787291349	88.4498070216269	1.73487610912928e-15	1.5677542891873e-14	+
ENSG00000277494	GPIHBP1	3952	3.99262093106669	4.76285099263909	171.275138740675	1.55617265167425e-23	7.15549706776491e-22	+
ENSG00000112782	CLIC5	199521	3.95302996085492	7.72483120345592	187.373300017227	8.31520330137275e-25	5.24677189333699e-23	+
ENSG00000149021	SCGB1A1	18092	3.91251540638395	9.51216031725692	43.9294123158297	1.65732705298408e-09	6.06809136362594e-09	+
ENSG00000102683	SGCG	144183	3.82142603412897	1.44754371145184	201.872263598628	6.81966129607861e-26	5.58792057573e-24	+
ENSG00000198576	ARC	3430	3.80472253368454	2.84475826819203	110.362190324719	6.41612653008144e-18	9.53812653298178e-17	+
ENSG00000143167	GPA33	113643	3.80469102093815	3.32753441280671	133.586577121873	3.119320856292e-20	7.23891789052784e-19	+
ENSG00000155511	GRIA1	324254	3.78925312291423	3.55620111605096	105.337615328889	2.19551410894388e-17	2.91314224324871e-16	+
ENSG00000116147	TNR	428422	3.73866822440915	2.18791761647012	86.0557254525049	3.32774417766286e-15	2.86235667102553e-14	+
ENSG00000163687	DNASE1L3	22440	3.69137287231258	3.8592660568218	112.547275790385	3.79259015411852e-18	5.88072566587938e-17	+
ENSG00000164530	PI16	16574	3.68903602417573	2.83182840511158	81.8722790147468	1.06033351936023e-14	8.34033290600666e-14	+
ENSG00000165197	VEGFD	38817	3.66032903056609	4.85476093248914	109.301064801554	8.29893605321468e-18	1.1976653207348e-16	+
ENSG00000100012	SEC14L3	24058	3.65321633256468	1.48413335051907	62.8442099795079	2.9797081524285e-12	1.60736893127414e-11	+
ENSG00000205038	PKHD1L1	174746	3.64587395437131	2.68193520132127	167.703170761844	3.05203361941773e-23	1.29329924622826e-21	+
ENSG00000171243	SOSTDC1	69099	3.63903969617813	4.25393921948101	65.2323520041408	1.41654677770923e-12	7.98261970007003e-12	+
ENSG00000176771	NCKAP5	896675	3.61824475186914	5.02489070876209	141.781710526873	5.40358724721725e-21	1.39854221432843e-19	+
ENSG00000115602	IL1RL1	40535	3.61684967462665	4.86177969312027	84.7570691638635	4.75494912206841e-15	3.96758278819694e-14	+
ENSG00000114854	TNNC1	2941	3.60783256619963	5.23236297090125	158.123790702429	1.94474796565325e-22	7.0784731743535e-21	+
ENSG00000241644	INMT	59617	3.58183452503923	7.36467731690072	162.405068807251	8.42896576851179e-23	3.35007791199541e-21	+
ENSG00000169218	RSPO1	23542	3.57469420358977	1.92877432423583	202.533782849994	6.10187781106223e-26	5.17134144487524e-24	+
ENSG00000165810	BTNL9	21296	3.52689050550548	5.0756405415966	127.600056593198	1.1679166513458e-19	2.45049890596087e-18	+
ENSG00000115361	ACADL	38321	3.51651508503778	3.87308626282145	124.156405567052	2.53592008240005e-19	4.96529131422587e-18	+
ENSG00000102104	RS1	32420	3.51166964607093	1.48529699576708	98.1827034131393	1.33519348291355e-16	1.50385407987572e-15	+
ENSG00000205364	MT1M	1322	3.51028192230227	3.66019728138893	114.646175551454	2.30049939913882e-18	3.71366331575267e-17	+
ENSG00000159307	SCUBE1	146092	3.5059671916635	4.51738551395519	140.030285294063	7.81985122526575e-21	1.97368478589226e-19	+
ENSG00000104918	RETN	1406	3.48888313792767	2.97801250758248	115.920662498082	1.70226987165114e-18	2.82172040373696e-17	+
ENSG00000266524	GDF10	13380	3.46674246978714	3.96272123216154	133.606359689319	3.10591804725412e-20	7.22335851999654e-19	+
ENSG00000134917	ADAMTS8	23686	3.46167478750562	4.884280271274	108.452246122788	1.02052932611955e-17	1.4485986469032e-16	+
ENSG00000137976	DNASE2B	16534	3.45400638320493	1.06904524226942	110.618087733487	6.03127118948531e-18	9.02029823486259e-17	+
ENSG00000263155	MYZAP	93460	3.4262550746558	5.04272191351436	225.999747696584	1.37163141119987e-27	1.82416426678727e-25	+
ENSG00000130226	DPP6	1146152	3.42480122065093	1.35963580899919	97.0780315748208	1.77473255079388e-16	1.9480020697686e-15	+
ENSG00000022267	FHL1	64657	3.40363059040972	7.57504279244302	206.160853194974	3.33048059688094e-26	2.92287710860277e-24	+
ENSG00000159708	LRRC36	58406	3.40139978434476	3.80106268982191	154.559384885451	3.94271078365872e-22	1.34448770687723e-20	+
ENSG00000189292	ALKAL2	9293	3.36618392116557	1.93326781842464	159.781337795115	1.40468005180263e-22	5.27945943817733e-21	+
ENSG00000196616	ADH1B	47789	3.35998885720546	8.1113380455701	91.5603914897865	7.53560307323694e-16	7.32338625818963e-15	+
ENSG00000136160	EDNRB	80048	3.3567783006028	6.5438832990945	183.76669835042	1.57968181134542e-24	9.1150289437948e-23	+
ENSG00000125740	FOSB	7184	3.35055419808577	9.04397418376959	51.4065496780446	1.23522975136044e-10	5.27921743067683e-10	+
ENSG00000154342	WNT3A	54273	3.34668363497445	2.98991493758345	73.4600856941509	1.18607804816916e-13	7.91741443042341e-13	+
ENSG00000283199	C13orf46	20371	3.34472050354125	2.94826072367829	108.004179700798	1.13861980416874e-17	1.60121566847799e-16	+
ENSG00000094963	FMO2	27437	3.32558249515741	7.30183093001899	216.906953458188	5.77247223782281e-27	6.04850136483143e-25	+
ENSG00000066405	CLDN18	34920	3.32074429830846	9.15705832364818	40.0592243718682	6.72292261161313e-09	2.25869819339641e-08	+
ENSG00000163492	CCDC141	220380	3.31934046058323	2.60572675782047	117.182026710323	1.26574121530977e-18	2.15387794010734e-17	+
ENSG00000134115	CNTN6	311559	3.31511518688945	3.13491087426471	77.5208470150152	3.64402569809209e-14	2.66053886378016e-13	+
ENSG00000114812	VIPR1	48274	3.30188678890628	6.26664446991842	138.251855466615	1.14129597478542e-20	2.82287068784908e-19	+
ENSG00000197465	GYPE	34699	3.28826933783253	1.2638143583103	249.352017512894	4.0823975704976e-29	8.7136508143621e-27	+
ENSG00000148488	ST8SIA6	139174	3.27203140460335	2.17621575970289	122.633956265782	3.58645007235036e-19	6.80638148198302e-18	+
ENSG00000171509	RXFP1	338061	3.27077853374079	2.48661764066808	180.751034695615	2.71857135837826e-24	1.48738544984183e-22	+
ENSG00000180772	AGTR2	4230	3.24795225703053	4.42878798817871	49.6897458501345	2.21530636152797e-10	9.17375609208552e-10	+
ENSG00000135917	SLC19A3	34265	3.24395330381327	3.89921442655869	153.4375058464	4.93506646314027e-22	1.63766533745167e-20	+
ENSG00000169252	ADRB2	2012	3.23194045203467	4.59179032926244	219.180512104075	4.01458882277504e-27	4.36529724257596e-25	+
ENSG00000150275	PCDH15	1825171	3.22156109690356	1.40039380652928	65.9626731044191	1.13090671576815e-12	6.50873708685604e-12	+
ENSG00000107742	SPOCK2	29998	3.20939920157029	8.47762143111634	238.539133951427	2.01623512706341e-28	3.35179702998071e-26	+
ENSG00000133800	LYVE1	54723	3.19984665721019	5.18452495260094	153.02991674457	5.35577437442212e-22	1.75371180226106e-20	+
ENSG00000136244	IL6	6118	3.19733849243042	5.11761595411705	66.6043133390483	9.28671354369023e-13	5.40963579706403e-12	+
ENSG00000118526	TCF21	6440	3.1956536995829	5.45616382343734	185.595346019741	1.13978209256881e-24	6.8660949820286e-23	+
ENSG00000135063	ENTREP1	67991	3.1921088013491	5.49207552794335	148.458547097609	1.35296863146677e-21	4.07516980303641e-20	+
ENSG00000164161	HHIP	99115	3.18966815469488	6.1078073935475	61.9749934941343	3.91673876602409e-12	2.08230309119897e-11	+
ENSG00000120156	TEK	121033	3.18646239276637	5.78867740146412	226.249459968864	1.31930191519648e-27	1.76817138076217e-25	+
ENSG00000135218	CD36	309702	3.15524361361259	6.79258841236167	188.034018936923	7.39939983991259e-25	4.70324352324444e-23	+
ENSG00000128268	MGAT3	35182	3.15347275460612	5.22470170899157	154.164904657175	4.26607414533729e-22	1.43494466729059e-20	+
ENSG00000019169	MARCO	52466	3.13774467005025	7.96238774269281	129.45454201301	7.73028003830607e-20	1.67393190430935e-18	+
ENSG00000010319	SEMA3G	12068	3.13528157647335	5.37027411553566	184.729511590359	1.3299133507301e-24	7.8473965599907e-23	+
ENSG00000134020	PEBP4	286749	3.128459430504	6.11156398520768	73.0809262516548	1.32614801720153e-13	8.7946962291512e-13	+
ENSG00000147655	RSPO2	184326	3.12838175023216	2.30401117280502	74.5785230575308	8.54552384838637e-14	5.84891376938844e-13	+
ENSG00000168952	STXBP6	240693	3.12049739351172	4.81049947809072	112.886847464917	3.49674471646615e-18	5.46117609783047e-17	+
ENSG00000105509	HAS1	10879	3.11862819883869	2.36593245077802	34.6667606548146	5.07569046226432e-08	1.52112345990792e-07	+
ENSG00000170890	PLA2G1B	5664	3.11801208520308	3.30887147576488	69.5574758783675	3.78747543281766e-13	2.33779588568313e-12	+
ENSG00000120057	SFRP5	5248	3.11601695840013	2.0474546820726	67.8280749866622	6.39147828774004e-13	3.82625582121667e-12	+
ENSG00000135604	STX11	41452	3.08878003381028	4.8427193718653	354.079331258851	6.7109765533043e-35	1.93376789383463e-31	+
ENSG00000007908	SELE	42065	3.08820629258161	3.75569307070801	55.1925478373807	3.48911371106518e-11	1.59966287325924e-10	+
ENSG00000105227	PRX	21027	3.07451012355581	6.14408455347824	128.285691880195	1.00226329428762e-19	2.13138131549061e-18	+
ENSG00000043591	ADRB1	3038	3.07445664980939	4.10549104460398	84.7147391796101	4.81079206298626e-15	4.01030780988281e-14	+
ENSG00000122679	RAMP3	28511	3.07176751386121	5.96494009689774	161.636995692116	9.78304317755838e-23	3.83535223348769e-21	+
ENSG00000277758	SYT15B	18875	3.07128710234361	4.05357728269077	112.326869307219	3.99816196197906e-18	6.15531809088655e-17	+
ENSG00000131355	ADGRE3	70910	3.06088527070226	1.79471914793858	121.779299768365	4.36136031765847e-19	8.15173605751321e-18	+
ENSG00000187758	ADH1A	14634	3.0596599567909	2.22847925872635	120.606109289967	5.7119087701107e-19	1.03623494991022e-17	+
ENSG00000089250	NOS1	244028	3.04610748081017	2.60505509154543	56.4551552578427	2.30514374612784e-11	1.08711484524834e-10	+
ENSG00000171049	FPR2	18505	3.04322875018023	3.7804694001215	91.8920830492152	6.90005766258313e-16	6.74364595412096e-15	+
ENSG00000095713	CRTAC1	165828	3.03776869512082	6.55197810341709	95.2576580091581	2.84661892234048e-16	2.98093243781615e-15	+
ENSG00000183379	SYNDIG1L	20316	3.0321744930751	1.3514662600156	86.1454681114027	3.2469801375726e-15	2.799852349052e-14	+
ENSG00000176697	BDNF	67165	3.02050295396029	2.70200488491413	159.147340058801	1.59041690358668e-22	5.900583228779e-21	+
ENSG00000168497	CAVIN2	12778	3.01726214047083	7.77156564076322	164.084272904875	6.09513580028053e-23	2.49122465368913e-21	+
ENSG00000169418	NPR1	15304	2.99005647847657	5.44925956993709	230.603211361842	6.72777393338876e-28	1.02934941180848e-25	+
ENSG00000204176	SYT15	15956	2.97284807728767	4.11028625038359	116.342610709872	1.54133648661192e-18	2.57470207894043e-17	+
ENSG00000141338	ABCA8	88103	2.97268181845342	5.09961986980248	145.187116173509	2.65397078496886e-21	7.46588010853133e-20	+
ENSG00000171885	AQP4	13728	2.96927177991224	8.42011698593642	67.693719083715	6.65819495544509e-13	3.97080139995482e-12	+
ENSG00000147206	NXF3	17333	2.9668646894232	1.37107673888404	84.9271364260724	4.53717346103404e-15	3.80607433128663e-14	+
ENSG00000175084	DES	8358	2.9663231230268	5.6920074271313	86.3389570221826	3.07958192426393e-15	2.66480940383379e-14	+
ENSG00000105974	CAV1	36185	2.9520359663518	9.61933072862622	97.0499024466873	1.78767714411814e-16	1.95862801930662e-15	+
ENSG00000187323	DCC	1195706	2.94997271276516	2.31845609079786	103.465373439954	3.49938966485804e-17	4.44972353420985e-16	+
ENSG00000171056	SOX7	6743	2.94407123757927	4.77570429233417	121.392660644982	4.76611117812973e-19	8.80355728191079e-18	+
ENSG00000187416	LHFPL3	579958	2.93914256534294	1.12820581954891	69.9689198229673	3.34682641911735e-13	2.08366157580554e-12	+
ENSG00000078081	LAMP3	41624	2.9360339806466	8.55181474970022	131.911518941847	4.4976375100915e-20	1.01779653026141e-18	+
ENSG00000123119	NECAB1	167652	2.92362164643754	3.9144208696122	140.750700708514	6.71477043612104e-21	1.71645423131564e-19	+
ENSG00000206384	COL6A6	159867	2.91965150517656	4.91580547688036	115.241778516605	1.99802768482405e-18	3.26810791323776e-17	+
ENSG00000055813	CCDC85A	202182	2.91956311514971	3.79177448729954	155.029158042953	3.59001953016075e-22	1.23150491382836e-20	+
ENSG00000173391	OLR1	13837	2.91727750392847	6.75310094303384	194.515193185059	2.38882079725783e-25	1.7137063387465e-23	+
ENSG00000168477	TNXB	74181	2.91282186832119	6.97972910087984	119.809832097285	6.86528281084854e-19	1.22617638963595e-17	+
ENSG00000106809	OGN	21428	2.90830895920962	4.14520308760925	108.409410753485	1.03125755548805e-17	1.46142720301908e-16	+
ENSG00000205362	MT1A	1421	2.90545450186249	2.13326735172878	44.990035913057	1.13699912590132e-09	4.24294795763174e-09	+
ENSG00000122852	SFTPA1	4516	2.89828978104095	13.4157014630132	40.8773425474372	4.98342840859113e-09	1.70172810104942e-08	+
ENSG00000119147	ECRG4	14909	2.88717830510123	2.76158451243833	65.5426889051618	1.28711324910898e-12	7.32003321179119e-12	+
ENSG00000177098	SCN4B	19511	2.88526197340102	4.50466694652833	149.029801738814	1.20389788940403e-21	3.65264685009685e-20	+
ENSG00000088926	F11	23492	2.8846280237148	2.4270510552449	47.2656579617154	5.11507211058132e-10	2.00693727827882e-09	+
ENSG00000102760	RGCC	13321	2.88259276736593	7.40796745399466	270.537588934764	2.05150369583136e-30	8.6508408285923e-28	+
ENSG00000165072	MAMDC2	183124	2.88161033025361	5.18973730877223	104.171170290008	2.93393525479972e-17	3.79109167565264e-16	+
ENSG00000164764	SBSPON	59545	2.87839259455186	3.38538756444197	215.968717687143	6.71087866555193e-27	6.90621316956711e-25	+
ENSG00000114790	ARHGEF26	136824	2.86244548765736	5.72843593183148	295.596842990765	7.38598328628167e-32	9.3517203242388e-29	+
ENSG00000172987	HPSE2	778785	2.86180867615722	1.57860910017195	94.929598901562	3.10109119570612e-16	3.22397869408076e-15	+
ENSG00000205002	AARD	6280	2.86067040209091	1.97001572455427	92.7126794549679	5.55229311302776e-16	5.5137045164352e-15	+
ENSG00000163815	CLEC3B	34523	2.85579595323273	6.72900409705117	83.7543191356071	6.27456196946815e-15	5.12669668667934e-14	+
ENSG00000266964	FXYD1	4285	2.83783012882149	3.72998931472036	178.517239666248	4.07967744767638e-24	2.13738010281445e-22	+
ENSG00000092295	TGM1	15318	2.83432243263111	2.71828624214793	173.573742217993	1.01355091008321e-23	4.87683853399633e-22	+
ENSG00000189129	PLAC9	13677	2.83311233739452	3.79825351449446	189.046016623063	6.19159902909509e-25	4.01457720615073e-23	+
ENSG00000004776	HSPB6	3513	2.83092031892915	5.18869575761931	143.950965274069	3.43149688742114e-21	9.41700788676573e-20	+
ENSG00000235387	SPAAR	27663	2.83055715259713	1.63401441830235	222.991479742726	2.1967123770953e-27	2.69354328280856e-25	+
ENSG00000189367	KIAA0408	20983	2.81905989863569	5.00078713558178	116.418231201542	1.51417682055062e-18	2.53177979211796e-17	+
ENSG00000118729	CASQ2	68693	2.81451717752479	1.77560873717999	91.1796859853522	8.33912605012407e-16	8.03204179836184e-15	+
ENSG00000143171	RXRG	44433	2.81343524790382	1.91087517721555	61.0023316688949	5.32828346405041e-12	2.77221464971314e-11	+
ENSG00000104059	ENTREP2	450727	2.81073422387188	1.26044365336359	112.109623163316	4.21191531188193e-18	6.44423042717935e-17	+
ENSG00000174837	ADGRE1	52893	2.81052641947012	3.0857789806819	102.564261230522	4.38637791780628e-17	5.44017846635242e-16	+
ENSG00000164736	SOX17	2957	2.79968068095617	3.05303848789184	150.955025034456	8.13924939674186e-22	2.5354861769418e-20	+
ENSG00000162687	KCNT2	383446	2.79706245286277	2.65267538601716	144.188029133534	3.26617829211547e-21	8.99187205292745e-20	+
