ensembl_gene_id	external_gene_name	length	logFC	logCPM	F	PValue	FDR	class
ENSG00000179914	ITLN1	8640	6.68490117354501	5.86610776537887	75.5770307281274	6.38872669250277e-14	4.4592125872701e-13	+
ENSG00000108576	SLC6A4	41683	6.0847051190895	6.63384509727392	122.165426466918	3.99207128017821e-19	7.5184009110023e-18	+
ENSG00000180440	SERTM1	23819	5.66318976810674	3.20934488082227	181.478376793333	2.38365895397617e-24	1.3251151014564e-22	+
ENSG00000108342	CSF3	2452	5.58851969912563	5.25124237349693	90.9172692750507	8.94340205623814e-16	8.55212821627773e-15	+
ENSG00000034971	MYOC	17271	5.39746223514134	1.5811485781513	170.307319270245	1.86610272471436e-23	8.29384318961093e-22	+
ENSG00000178084	HTR3C	7626	5.32574179571011	0.551705730573592	120.553915765245	5.78106788934597e-19	1.04658515956966e-17	=
ENSG00000170323	FABP4	4817	5.19611968072123	6.33834701597325	185.406973674424	1.17864073653396e-24	7.02673092894331e-23	+
ENSG00000158764	ITLN2	9784	5.1891505396284	4.29292609749182	142.487076887425	4.6597834990761e-21	1.231850105742e-19	+
ENSG00000213934	HBG1	1588	5.10734316927752	-0.251066440056258	124.40489512499	2.39697961989623e-19	4.71997501690045e-18	=
ENSG00000206172	HBA1	842	5.07383517586481	7.20117383970393	225.419630166286	1.50152606275356e-27	1.95187098488318e-25	+
ENSG00000161649	CD300LG	16491	5.05605629855871	3.32761564188861	118.186498046519	1.00093695200567e-18	1.72879110521739e-17	+
ENSG00000150625	GPM6A	369730	5.03473573944834	4.96288546990362	190.150142540693	5.10120314165657e-25	3.37910732245596e-23	+
ENSG00000188536	HBA2	834	4.98197227597706	8.13689391973695	220.437271142389	3.28805800506736e-27	3.71550554572612e-25	+
ENSG00000148677	ANKRD1	8991	4.94143047019692	5.39569676203442	126.938612256176	1.35421958669201e-19	2.81746118343179e-18	+
ENSG00000204305	AGER	3354	4.93666429171451	10.1704184505128	127.986463720937	1.07139302578864e-19	2.26446381697553e-18	+
ENSG00000168484	SFTPC	7566	4.92723415832	13.6984398607112	70.3503385268267	2.98507409562094e-13	1.87192404929962e-12	+
ENSG00000203757	OR6K3	4393	4.73872013056489	-2.69215322286887	156.777054691133	2.53704525342135e-22	8.91523889967514e-21	=
ENSG00000223609	HBD	10979	4.7310378067675	1.43304304333032	202.019471263976	6.65281757175557e-26	5.47716966657534e-24	+
ENSG00000168309	FAM107A	63493	4.72295711337616	7.11563104653757	203.400533614018	5.27642218988471e-26	4.51604273469885e-24	+
ENSG00000240247	DEFA1B	2432	4.63430623201483	-0.750805459894084	101.373926830988	5.92090795755963e-17	7.17355134395575e-16	=
ENSG00000187950	OVCH1	85212	4.61097192380041	1.1528656293301	164.143497110256	6.02607052410016e-23	2.46883254244473e-21	+
ENSG00000101280	ANGPT4	46434	4.58878402888966	1.99094227127512	213.891686646578	9.3819428381706e-27	9.16226527723623e-25	+
ENSG00000244734	HBB	3931	4.58418792866789	8.64660877038926	157.245443459568	2.31260398880764e-22	8.19315786116707e-21	+
ENSG00000142515	KLK3	5849	4.57050213157853	-1.29785670439587	40.5274860427542	5.66285041985326e-09	1.92159020429525e-08	=
ENSG00000142748	FCN3	5714	4.52761465419393	6.78173360151122	141.764920461103	5.42269787569659e-21	1.40139048688966e-19	+
ENSG00000239839	DEFA3	2428	4.46858568051085	0.0402719446358199	90.3024602802949	1.0540236920368e-15	9.93621352869366e-15	=
ENSG00000243566	UPK3B	5997	4.38403372190318	6.45313404848398	134.432453909706	2.59561719542784e-20	6.12218631538225e-19	+
ENSG00000162771	GARIN4	2301	4.32595799620149	-1.59256721782692	77.8485115982047	3.3170114967778e-14	2.4413712970537e-13	=
ENSG00000183019	MCEMP1	2741	4.31382738882696	6.37384162725275	167.576326335145	3.12643388708367e-23	1.31515609425279e-21	+
ENSG00000140600	SH3GL3	171515	4.29874807772434	1.5492287135672	123.082560949238	3.23744564863965e-19	6.22605092539832e-18	+
ENSG00000147571	CRH	2088	4.28431643687635	-2.41730109293771	74.2060746981208	9.52899260898946e-14	6.46065698889485e-13	=
ENSG00000166292	TMEM100	12494	4.26221738058446	6.31454113494464	130.745377080424	5.81175475574242e-20	1.29317153117157e-18	+
ENSG00000168539	CHRM1	13128	4.25303590315652	1.53127268174103	106.161169783285	1.79089433765271e-17	2.42085787362609e-16	+
ENSG00000168481	LGI3	10254	4.22481425172693	5.5328624112117	76.3251031221031	5.14341999811325e-14	3.65343419668775e-13	+
ENSG00000179133	C10orf67	142149	4.21701954543764	1.96305447576	157.320069113549	2.278761817417e-22	8.1064841689964e-21	+
ENSG00000104938	CLEC4M	6395	4.18548114382564	0.614648050839982	71.186523390733	2.32510360085824e-13	1.47952580622886e-12	=
ENSG00000182255	KCNA4	7300	4.18093807728763	1.01796415297774	107.321850105549	1.34583913986486e-17	1.86294738904112e-16	+
ENSG00000139304	PTPRQ	278095	4.16120711264096	2.00122833164958	179.417049377224	3.46294359449382e-24	1.85934260264607e-22	+
ENSG00000182010	RTKN2	85809	4.16035377525882	7.14913153161719	298.896497810305	4.84357370488593e-32	6.97837881531441e-29	+
ENSG00000171819	ANGPTL7	6626	4.13858000210129	0.800545388102162	125.265830307803	1.97283120385134e-19	3.97532385587247e-18	=
ENSG00000081248	CACNA1S	72939	4.12504657934935	-0.446452411376338	117.373974158213	1.21012043862174e-18	2.06532796281651e-17	=
ENSG00000158578	ALAS2	21922	4.10402147177186	0.527575245753905	94.4132405878558	3.54953716624132e-16	3.65720787050931e-15	=
ENSG00000183090	FREM3	123373	4.0702082953085	0.872733840862603	94.1906544899804	3.76275257053888e-16	3.86537309518994e-15	=
ENSG00000140505	CYP1A2	7762	4.06899131399155	0.189469293553278	60.3245721965711	6.61023363060393e-12	3.38821017608987e-11	=
ENSG00000167588	GPD1	7331	4.0664620048253	5.29801305803155	172.050558018199	1.34605883886665e-23	6.27277931675619e-22	+
ENSG00000259417	CTXND1	56732	4.05237521359729	2.6682489680261	187.219043292312	8.54517563001553e-25	5.37227423517595e-23	+
ENSG00000125255	SLC10A2	22419	4.01877587252673	-1.30708710086506	64.9893185285117	1.52713040677532e-12	8.56391748385942e-12	=
ENSG00000167434	CA4	20957	4.0168527351229	4.49477353503667	102.162637745296	4.85262988786767e-17	5.95111411650229e-16	+
ENSG00000073754	CD5L	67345	4.003604256644	0.668288865998566	141.57002171787	5.64964375049855e-21	1.45786105675178e-19	=
