ensembl_gene_id	external_gene_name	length	logFC	logCPM	F	PValue	FDR	class	entrezgene_id
ENSG00000001084	GCLC	119629	-2.90732036816773	6.55036380943561	97.1515266558986	1.74136052409482e-16	1.91760395548251e-15	-	2729
ENSG00000002726	AOC1	36877	-4.80219064988714	4.16205753349645	117.33823855065	1.22028342303663e-18	2.08061933933731e-17	-	26
ENSG00000003249	DBNDD1	15019	-2.0949435209939	4.39773417443231	129.978127893428	6.88429980435608e-20	1.506615940728e-18	-	79007
ENSG00000004848	ARX	12726	-1.76352310137629	1.35789657544704	12.5064750792341	0.000612404019739453	0.00107665782970057	-	170302
ENSG00000005001	PRSS22	5440	-1.98695766467001	4.42741448291127	88.1930803627428	1.85963629466568e-15	1.66500527697954e-14	-	64063
ENSG00000006016	CRLF1	35521	-3.35568490306939	5.85347254021162	67.5899465442325	6.87195111981832e-13	4.08700250810248e-12	-	9244
ENSG00000006047	YBX2	6376	-4.80032414628133	1.61301516607014	125.146046997174	2.02692373442479e-19	4.07482377261282e-18	-	51087
ENSG00000006118	TMEM132A	12699	-1.93932955305285	5.25531639856604	115.664557720702	1.80820851336563e-18	2.9688620121157e-17	-	54972
ENSG00000006128	TAC1	8388	-7.848436444814	4.10803792170921	57.2830598041069	1.75983722096869e-11	8.44927123391494e-11	-	6863
ENSG00000006611	USH1C	50521	-3.57628583360791	1.26682109048337	41.576875032403	3.86349955848979e-09	1.33752590842471e-08	-	10083
ENSG00000006625	GGCT	8220	-1.68547667945724	5.39766433188125	187.418957658432	8.24835284237539e-25	5.22365466270432e-23	-	79017
ENSG00000007062	PROM1	121302	-2.04829963410098	5.03926336341059	19.3996798238962	2.62802712713727e-05	5.58524413043347e-05	-	8842
ENSG00000007306	CEACAM7	33673	-5.13886133177286	2.27559268217954	89.9224516307865	1.16698864409377e-15	1.088832523893e-14	-	1087
ENSG00000007314	SCN4A	34364	-4.30313739566321	1.33778173601307	61.7150576744123	4.25171224765029e-12	2.25207883117726e-11	-	6329
ENSG00000007350	TKTL1	34555	-2.96216334702475	2.34604579811703	17.8524653133113	5.21569738427976e-05	0.000106224752122526	-	8277
ENSG00000007968	E2F2	24795	-2.47822241186788	1.96916807843048	174.38712247971	8.716222630856e-24	4.29329837791651e-22	-	1870
ENSG00000008196	TFAP2B	28896	-4.70103825610386	1.34051508907356	32.2719388019159	1.28131356514058e-07	3.64112922875009e-07	-	7021
ENSG00000008300	CELSR3	26423	-3.33636097214007	3.15896437721703	250.051651756357	3.6878897905619e-29	8.17434956269547e-27	-	1951
ENSG00000008323	PLEKHG6	18070	-2.16203440999632	3.38023821803201	110.975026716063	5.53340399290418e-18	8.29722650766005e-17	-	55200
ENSG00000008735	MAPK8IP2	13188	-1.74222484448584	2.91863570364944	39.1322368801121	9.45959574042159e-09	3.11458675978192e-08	-	23542
ENSG00000009694	TENM1	828409	-2.50089786556516	2.84335273845817	41.8988663175999	3.43788284930041e-09	1.19688998351903e-08	-	10178
ENSG00000009709	PAX7	118020	-6.10245258086159	2.38368607393542	49.000348249423	2.80645757406617e-10	1.14733613142658e-09	-	5081
ENSG00000011347	SYT7	67434	-3.646697416892	5.37408870143421	174.091701691628	9.20665193054736e-24	4.48376916133052e-22	-	9066
ENSG00000011426	ANLN	63970	-3.96909965208124	4.80365137674857	225.936748867509	1.38516461284666e-27	1.82810007568748e-25	-	54443
ENSG00000012048	BRCA1	125950	-1.79712872190742	3.7397674619192	106.483728444685	1.6539327308099e-17	2.2533367204864e-16	-	672
ENSG00000013573	DDX11	30939	-1.69069193703618	4.42188945488863	92.0099026463025	6.68769851007918e-16	6.55091328842827e-15	-	1663
ENSG00000013810	TACC3	32313	-1.78689721269464	4.98355552542996	192.424036518689	3.4309657340189e-25	2.36326560061565e-23	-	10460
ENSG00000015413	DPEP1	25148	-2.11444381763667	1.49218677067087	21.6912646692294	9.71355295382261e-06	2.1778967321831e-05	-	1800
ENSG00000015520	NPC1L1	28795	-5.41144926172679	2.32255722852335	80.6465232806343	1.49670697825149e-14	1.15160511557588e-13	-	29881
ENSG00000019186	CYP24A1	20540	-7.15994966684694	5.91078385413138	158.162739625732	1.9298918342476e-22	7.0541014634898e-21	-	1591
ENSG00000019505	SYT13	46039	-4.76813059164025	3.57881110814439	56.5662944809537	2.2229222394439e-11	1.05063156363438e-10	-	57586
ENSG00000021826	CPS1	201425	-6.61562847356995	6.87710013279598	90.6491242667537	9.60709101864009e-16	9.12620860556421e-15	-	1373
ENSG00000022556	NLRP2	48012	-1.69174308453823	4.58376886573554	19.8515238367159	2.15577137483475e-05	4.63052941974381e-05	-	55655
ENSG00000023839	ABCC2	69954	-5.80542827168972	4.22106943917065	95.5261269961938	2.65427308021357e-16	2.80669876579214e-15	-	1244
ENSG00000023909	GCLM	24257	-1.8041101523198	5.77534825818874	55.7603419114081	2.89450777730398e-11	1.34307957492776e-10	-	2730
ENSG00000024526	DEPDC1	23069	-4.08079956807435	2.61225175843749	219.809054119176	3.63275763973794e-27	4.05204818280188e-25	-	55635
ENSG00000029153	BMAL2	92453	-2.65106521261994	4.465588189582	116.600368959768	1.45074621321378e-18	2.43750741304694e-17	-	56938
ENSG00000029993	HMGB3	10262	-3.38548205269861	7.09040371164959	271.077139788739	1.90533900111442e-30	8.44651435647875e-28	-	3149
ENSG00000034053	APBA2	233832	-2.25864881650298	3.73143835303983	89.0073999551589	1.49247531515259e-15	1.36815512850865e-14	-	321
ENSG00000035499	DEPDC1B	103278	-3.93453441973944	2.2201834659964	249.710517889749	3.87514344469149e-29	8.48067785003433e-27	-	55789
ENSG00000038427	VCAN	110685	-1.93184586582614	7.58594242776916	64.7345924554976	1.65251306267292e-12	9.21325325396712e-12	-	1462
ENSG00000041982	TNC	98632	-1.72341480223464	7.95503316101531	32.4762664751217	1.18313348786632e-07	3.37711653817416e-07	-	3371
ENSG00000042980	ADAM28	64945	-2.22200682346921	4.23341077556363	116.514931851828	1.48015568831086e-18	2.48209618770189e-17	-	10863
ENSG00000043039	BARX2	76431	-4.12931182418111	2.69786024599317	115.832128633782	1.73815697641926e-18	2.87294416494384e-17	-	8538
ENSG00000046604	DSG2	50831	-1.81600446045342	7.37749604419181	91.6630942507332	7.33267840945053e-16	7.13419679352787e-15	-	1829
ENSG00000046774	MAGEC2	2948	-8.18852890590509	1.30436170110716	85.1398891453214	4.27899043406806e-15	3.61051564736958e-14	-	51438
ENSG00000047457	CP	59419	-3.61825045840662	8.33193929371502	138.110313862044	1.17630372690434e-20	2.90115765113396e-19	-	1356
ENSG00000048462	TNFRSF17	2858	-1.65517013002981	1.05424249136045	31.1569620590292	1.98435757799098e-07	5.48044060157925e-07	-	608
ENSG00000049089	COL9A2	17324	-2.0099448666362	4.14755385234039	62.066327808665	3.80553665191856e-12	2.02567497460037e-11	-	1298
ENSG00000049249	TNFRSF9	27294	-1.66226695474772	2.39705160312489	35.3935952672335	3.8456980867778e-08	1.17263270233336e-07	-	3604
ENSG00000049283	EPN3	11068	-3.36664661310211	3.63406822817756	143.566041955427	3.71831898649041e-21	1.01557688716323e-19	-	55040
